business_id,industry_type,annual_revenue,total_expenses,loan_amount,emi_amount,gst_compliance_status,current_ratio,quick_ratio,debt_equity_ratio,dscr,roce,financial_health_score,risk_category,ai_recommendation
SME_95,E-commerce,2655748,2720688,13183429,3731,Delayed,0.49,2.2,4.34,2.08,24.76,67.0,Medium Risk,Optimize working capital and control operational costs
SME_96,E-commerce,11933787,2205808,17930440,16835,Delayed,2.52,1.44,2.77,2.58,12.17,88.0,Low Risk,Eligible for growth investment or working capital loan
SME_97,E-commerce,32308285,10109175,2650235,19477,Compliant,0.88,0.28,4.43,4.86,14.35,73.0,Low Risk,Eligible for growth investment or working capital loan
SME_98,Logistics,34927604,38174891,4740039,17266,Non-Compliant,1.32,1.46,3.8,1.45,27.08,72.0,Low Risk,Eligible for growth investment or working capital loan
SME_99,Retail,9410852,38490551,10129142,10758,Non-Compliant,1.63,1.03,0.26,3.98,16.6,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_100,Logistics,6155378,31449883,9693374,19661,Delayed,3.21,2.8,3.0,1.2,17.63,99.0,Low Risk,Eligible for growth investment or working capital loan
SME_101,Logistics,38928026,21192686,19080770,16311,Compliant,1.08,0.55,1.36,3.44,21.48,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_102,Retail,38117741,38609230,19724078,8566,Non-Compliant,0.59,2.03,2.56,1.34,-5.35,13.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_103,Retail,32456377,12066027,2676517,11889,Delayed,1.32,0.35,1.33,4.43,4.41,85.0,Low Risk,Eligible for growth investment or working capital loan
SME_104,Retail,7441245,37576570,4307086,11254,Non-Compliant,0.63,1.45,1.64,2.85,28.73,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_105,Retail,16376696,11329084,7331006,11442,Non-Compliant,0.71,1.75,4.16,1.01,26.92,56.0,Medium Risk,Optimize working capital and control operational costs
SME_106,E-commerce,9951244,13017619,8329442,13521,Compliant,2.14,1.03,1.01,1.2,25.36,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_107,Services,44229961,18115057,8831924,4559,Compliant,0.49,1.47,3.95,2.52,8.08,37.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_108,Services,8317304,10355661,6168563,16199,Non-Compliant,0.4,0.66,0.23,4.81,24.29,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_109,Retail,48204465,44259585,3456653,7291,Delayed,2.59,1.05,0.5,3.87,-8.06,86.0,Low Risk,Eligible for growth investment or working capital loan
SME_110,Services,18106951,21109657,17252811,8160,Compliant,1.46,1.94,3.86,2.49,-4.06,32.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_111,Services,7521862,35161500,1888806,112,Non-Compliant,0.7,1.05,2.87,1.75,6.56,32.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_112,Retail,46273415,25960098,11633032,19581,Compliant,1.11,2.72,3.39,2.79,9.34,70.0,Low Risk,Eligible for growth investment or working capital loan
SME_113,Services,8851245,35341412,18925307,15924,Compliant,2.35,1.96,1.02,3.77,0.54,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_114,Logistics,39337023,16102852,3961676,16523,Compliant,1.18,1.43,2.46,3.94,4.26,75.0,Low Risk,Eligible for growth investment or working capital loan
SME_115,Manufacturing,41537490,41455392,1760462,1424,Non-Compliant,1.88,0.31,3.34,1.69,-3.49,16.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_116,Manufacturing,19839685,31473264,10627281,19333,Delayed,0.69,1.6,2.86,3.63,9.57,71.0,Low Risk,Eligible for growth investment or working capital loan
SME_117,Retail,37140608,28513586,10011762,19552,Delayed,2.18,2.34,2.18,3.32,21.75,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_118,E-commerce,5845854,44736333,4058848,10808,Delayed,1.31,0.94,4.32,4.8,16.45,91.0,Low Risk,Eligible for growth investment or working capital loan
SME_119,Retail,12183982,3440267,809178,6043,Compliant,2.31,2.46,3.08,4.66,-5.69,87.0,Low Risk,Eligible for growth investment or working capital loan
SME_120,E-commerce,38938112,33549417,6934106,6989,Non-Compliant,2.89,0.91,4.09,3.97,9.5,90.0,Low Risk,Eligible for growth investment or working capital loan
SME_121,Manufacturing,4181262,29408147,7486327,6261,Compliant,2.26,2.51,3.31,3.64,17.91,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_122,Retail,38687510,10085684,19339821,887,Delayed,1.25,0.44,3.34,1.44,11.2,34.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_123,Agriculture,3109089,21617066,721037,19488,Delayed,1.12,2.63,0.45,4.25,5.67,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_124,Logistics,18191444,7936765,16530109,16433,Non-Compliant,1.35,1.6,1.68,2.19,14.88,82.0,Low Risk,Eligible for growth investment or working capital loan
SME_125,Services,1453959,19073436,1021469,19944,Compliant,0.83,1.03,3.88,1.43,28.75,63.0,Medium Risk,Optimize working capital and control operational costs
SME_126,E-commerce,44632455,37093176,5779277,16402,Delayed,0.88,0.94,1.12,1.98,-6.2,29.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_127,Agriculture,32811218,8935078,10769914,12253,Non-Compliant,2.83,1.41,0.61,4.2,5.6,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_128,Services,41959909,7335774,2892371,18990,Compliant,1.53,3.0,1.53,0.83,6.26,63.0,Medium Risk,Optimize working capital and control operational costs
SME_129,Services,10516389,18544439,10200944,7846,Compliant,1.7,0.82,1.07,2.34,13.08,84.0,Low Risk,Eligible for growth investment or working capital loan
SME_130,Retail,20646754,26620970,12722456,6432,Delayed,2.2,0.49,4.17,2.51,-3.91,26.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_131,Services,12130982,19605297,16052493,13452,Delayed,2.19,1.84,3.92,0.28,-2.93,10.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_132,Logistics,29622503,4673445,17240217,13395,Compliant,0.52,1.57,2.3,1.06,1.41,19.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_133,Agriculture,27204425,3584790,10539669,3765,Compliant,2.96,1.67,0.37,4.15,28.23,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_134,Services,45514515,33534205,19599352,18822,Delayed,0.87,2.07,3.24,4.17,19.36,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_135,Retail,16086926,12929971,13553746,15950,Compliant,2.61,0.95,2.84,1.53,16.47,76.0,Low Risk,Eligible for growth investment or working capital loan
SME_136,Logistics,46446524,7081935,17292909,12502,Delayed,2.77,2.75,4.37,4.39,22.68,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_137,Manufacturing,47953472,10363441,19413938,9741,Compliant,2.59,1.42,2.56,3.88,-4.9,76.0,Low Risk,Eligible for growth investment or working capital loan
SME_138,Agriculture,9996563,7089142,17016233,5941,Delayed,2.15,0.56,1.58,2.15,24.37,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_139,Services,30933757,26736263,17192210,4855,Non-Compliant,0.35,2.28,2.38,3.77,13.79,88.0,Low Risk,Eligible for growth investment or working capital loan
SME_140,Retail,14534150,5390961,941768,15166,Delayed,1.45,2.0,4.41,4.81,3.41,77.0,Low Risk,Eligible for growth investment or working capital loan
SME_141,Manufacturing,46245050,4046804,15132955,19145,Delayed,2.24,1.08,3.16,2.35,22.63,93.0,Low Risk,Eligible for growth investment or working capital loan
SME_142,Manufacturing,32056003,1047296,10228691,5788,Non-Compliant,1.54,1.94,3.06,1.27,22.1,75.0,Low Risk,Eligible for growth investment or working capital loan
SME_143,E-commerce,47958853,3522951,8043846,201,Compliant,3.06,0.82,1.16,4.71,23.83,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_144,Logistics,10821336,27244511,17854157,10561,Non-Compliant,1.29,1.45,3.37,3.06,-5.38,35.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_145,Services,17059100,1200101,465982,16901,Delayed,1.24,2.72,3.4,0.62,28.77,79.0,Low Risk,Eligible for growth investment or working capital loan
SME_146,Retail,41608406,38055044,19315784,7737,Compliant,1.15,0.57,1.5,2.91,28.39,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_147,E-commerce,11250240,44302446,273146,1988,Non-Compliant,1.36,1.28,2.23,2.55,4.3,58.0,Medium Risk,Optimize working capital and control operational costs
SME_148,Logistics,10303005,23055061,13907579,15441,Compliant,2.08,2.5,1.4,4.29,-7.36,92.0,Low Risk,Eligible for growth investment or working capital loan
SME_149,E-commerce,6597091,23191342,5453174,11737,Compliant,2.56,2.91,1.24,2.7,-3.32,89.0,Low Risk,Eligible for growth investment or working capital loan
SME_150,Agriculture,32238453,22415777,6124152,14256,Non-Compliant,2.42,1.47,0.21,1.35,29.71,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_151,Logistics,47482977,23516992,1164795,7162,Compliant,2.88,1.62,1.35,3.41,12.52,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_152,Logistics,41759524,43307958,9777938,13065,Non-Compliant,3.13,1.8,2.54,2.76,4.26,89.0,Low Risk,Eligible for growth investment or working capital loan
SME_153,Services,8083354,42839798,19454963,14114,Delayed,2.91,2.81,0.11,1.24,1.53,92.0,Low Risk,Eligible for growth investment or working capital loan
SME_154,Logistics,20408425,30955353,13767053,8399,Compliant,0.36,2.6,1.35,2.91,0.28,62.0,Medium Risk,Optimize working capital and control operational costs
SME_155,E-commerce,39867797,8521757,2409381,5633,Delayed,2.65,0.68,3.98,4.13,16.57,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_156,Logistics,38112325,42371665,13141428,5755,Delayed,0.97,1.42,2.71,0.24,6.78,19.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_157,Services,22968492,36787984,7026492,10825,Compliant,0.73,1.5,2.77,3.19,28.62,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_158,Services,5897662,12220569,11959207,4117,Non-Compliant,2.34,2.41,1.87,1.81,17.35,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_159,Agriculture,16913486,41330951,19720511,1518,Compliant,1.32,1.89,3.08,1.53,21.68,74.0,Low Risk,Eligible for growth investment or working capital loan
SME_160,E-commerce,12106243,22879150,77175,16346,Delayed,0.48,2.03,0.94,2.02,1.71,52.0,Medium Risk,Optimize working capital and control operational costs
SME_161,Manufacturing,17143948,35231079,11074355,2600,Delayed,0.74,2.99,3.7,1.78,-6.83,17.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_162,Manufacturing,11188727,12831216,18856024,13237,Non-Compliant,0.3,0.41,0.61,4.18,9.51,84.0,Low Risk,Eligible for growth investment or working capital loan
SME_163,Logistics,44342483,16440922,18134669,18579,Compliant,3.19,0.82,2.99,1.45,2.58,53.0,Medium Risk,Optimize working capital and control operational costs
SME_164,Agriculture,29114327,39371207,19789002,3554,Delayed,0.38,1.34,1.6,3.69,-1.92,55.0,Medium Risk,Optimize working capital and control operational costs
SME_165,Retail,10328366,9104813,16872244,16193,Delayed,0.97,1.17,3.39,0.56,28.11,57.0,Medium Risk,Optimize working capital and control operational costs
SME_166,Logistics,2305468,20321696,1558242,19233,Delayed,1.63,0.26,2.52,4.76,7.76,89.0,Low Risk,Eligible for growth investment or working capital loan
SME_167,Agriculture,37482407,29861504,13074362,15253,Non-Compliant,1.44,0.46,2.09,3.15,-3.01,47.0,Medium Risk,Optimize working capital and control operational costs
SME_168,E-commerce,40410660,14897054,15821133,16194,Delayed,3.22,2.11,0.85,3.56,-2.05,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_169,E-commerce,9014716,11719247,4319453,1742,Delayed,0.43,2.66,2.9,1.56,1.23,30.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_170,E-commerce,45603150,14313140,5445315,1306,Compliant,1.94,1.64,4.39,2.12,29.97,93.0,Low Risk,Eligible for growth investment or working capital loan
SME_171,E-commerce,12118627,21117501,8552442,3849,Compliant,2.48,1.71,3.73,1.2,0.72,36.0,High Risk,"Reduce expenses, improve cash inflow, and avoid new loans"
SME_172,E-commerce,15543403,7251803,19144771,12360,Delayed,3.28,0.91,0.36,4.67,3.15,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_173,Agriculture,27373516,13445697,9618395,12768,Delayed,2.29,2.35,1.76,2.49,16.37,100.0,Low Risk,Eligible for growth investment or working capital loan
SME_174,Agriculture,6025633,6142533,3012359,13032,Compliant,2.87,2.31,4.17,3.19,1.76,76.0,Low Risk,Eligible for growth investment or working capital loan
SME_175,Services,2744702,24501438,9714177,4195,Non-Compliant,0.57,1.85,2.31,3.7,-1.37,57.0,Medium Risk,Optimize working capital and control operational costs
